Name,Member Number,Class,5%,35%,Mean,65%,95%,Low Place,Mid Place,High Place,Actual Percent,Actual Place
Max Michel,L5373,GM,97.05536265064818,98.24648753087047,99.37126270868498,100.62873729131503,101.81986217153734,4,1,1,93.18128228781349,7
Christian Sailer,L4698,U,95.64430347185093,97.5397733476069,98.65091175146001,101.33071309911882,103.2261829748748,6,2,1,100.0,1
Mason Lane,L4341,GM,95.22846644354213,96.65818853075272,98.13160398594442,99.51763270517387,100.94735479238446,7,2,1,92.73422018578324,8
Nils Jonasson,L3837,GM,95.15016917755875,96.79414386689567,98.47146053092119,100.0820932455695,101.7260679349064,7,2,1,97.94851421062401,2
Simon joseph Echavez racaza,L3137,GM,94.41744014369363,96.12167245203305,98.03149633617838,99.53013706871188,101.23436937705128,7,3,1,91.00633974301401,16
Jacob Hetherington,A69498,GM,94.156425799742,95.74877069138525,97.28709185376775,98.93346047467172,100.52580536631498,9,5,1,97.4989855695214,3
John Vlieger,TY79695,GM,92.97125038403667,94.54611503674873,96.12620930454452,97.69584434217286,99.27070899488493,13,7,3,94.94082558105904,4
Jay Beal,L4721,GM,92.82977822057508,94.46988694865694,96.02694386002784,97.75010440482065,99.3902131329025,14,7,3,92.4414214513445,10
Bryan Jones,L2483,U,91.48059121707486,94.2518033463912,95.77597001751519,99.79422760502388,102.5654397343402,15,7,1,89.3810728990807,20
Tom Castro,TY106150,GM,91.221543230576,92.852471609719,94.40838309931027,96.11432836800496,97.74525674714796,24,10,7,84.50419396493139,45
Dazhi Zhang,TY93241,GM,90.17238286240689,92.68750629354953,95.1027988956023,97.71775315583486,100.23287658697751,23,9,3,92.48359767910081,9
Matthew Hemple,A111073,GM,90.0836202189876,91.9013853976904,93.64226129509365,95.536915755096,97.3546809337988,30,11,7,89.14030155250221,21
Luke Cao,L4988,GM,90.01897357347784,92.01768691570035,93.86330983976903,96.0151136001454,98.01382694236793,28,11,7,87.11218400135648,33
Tyler Meisenheimer,A100099,GM,89.90097724413442,92.63813182995015,94.4715761389692,98.11244100158163,100.84959558739737,24,10,2,88.20480990264036,27
Trace Decker,A110330,GM,89.88706374684372,91.88829761842665,93.92405990511432,95.89076536159253,97.89199923317545,28,10,7,93.3953460195663,6
Jeremy Story,A63002,GM,89.58047489714936,91.57656955444868,93.47729701762847,95.56875886904734,97.56485352634667,35,13,7,91.5784210485719,12
Joon (사랑해) Kim,TY104547,GM,89.57249147761469,91.51950625273058,93.29442231850655,95.41353580296234,97.36055057807822,36,14,7,86.72763094070594,36
Brantley Merriam,A124472,GM,89.45339022384825,92.19086189433109,94.71132735306101,97.66580523529677,100.40327690577963,24,10,3,91.75765342541557,11
Hwansik Kim,A86278,GM,89.06370004004727,91.27450350588401,93.49311858225319,95.69611043755751,97.90691390339425,36,13,7,91.4597148639538,13
Jedidiah Morgan,A139407,M,88.81681310709484,90.8899560165983,92.35798199695479,95.03624183560517,97.10938474510861,39,20,9,86.73602300793428,35
Scott Rader,A83744,GM,88.51247736590483,90.48117941486854,92.36007451195164,94.41858351279593,96.38728556175965,41,20,10,88.50697726837815,26
Jared Clanton,A130247,GM,88.40244864634609,90.74428525608843,93.21748962032159,95.42795847557312,97.76979508531547,38,14,7,82.96882859232694,52
Garran Singleton,A95225,GM,88.13799645078176,90.91920260801068,93.63341031310351,96.48161492246857,99.26282107969749,36,11,7,93.84201361406951,5
Hunter Constantine,A114729,GM,88.04182067007916,90.10155922183567,91.99085699894529,94.22103632534872,96.28077487710523,43,21,10,83.91323935194728,50
Randall Towles,L5116,GM,87.97306141802366,89.92925720509992,91.9042170095732,93.84164877925247,95.79784456632873,45,22,11,88.59341178154033,25
Isaac Lockwood,A106174,GM,87.94812673668146,90.12557848972989,92.20748124539601,94.48048199582672,96.65793374887515,43,21,10,85.3428669743095,40
Brian Giovannini,A81371,M,87.47118754305858,89.72402347524874,91.15139089039026,94.22969533962903,96.48253127181918,49,26,10,86.08742164455177,37
Ryan Flowers,B87,GM,87.2828482478097,89.2863317349701,90.39617223933102,93.29329870929095,95.29678219645137,53,30,14,87.41764388538127,31
Phil Strader,RD5,GM,87.11979171075167,89.36295257255559,91.63000562021669,93.84927429616341,96.09243515796733,48,23,11,81.29931162614157,65
Sean Griffith,A109664,GM,87.04843109376858,90.04037197855968,93.25691041390212,96.02425374814183,99.01619463293292,39,14,7,90.18441842666043,18
Nick Walden,A104588,GM,86.45444417964505,88.70305445660205,90.88531377943825,93.20027501051602,95.44888528747302,53,28,14,87.57901755366376,30
Joshua (carde b) Cardenas,A134400,GM,86.39196497750498,88.80547860928014,91.18701251886787,93.63250587283045,96.04601950460562,51,25,11,87.60767890233036,29
Tanner Wright,TY136419,M,85.9388421017744,88.7498201653047,91.0952635764399,94.37177629236531,97.18275435589563,53,26,10,86.02614069012724,38
Jonathan Tran,A122842,M,85.334045801388,87.78121772125358,89.73137503402029,92.67556156098473,95.12273348085031,61,34,17,82.36226688162014,57
Jack Brown,FY110979,A,84.91815716447715,88.33889708101303,90.22030403510777,95.1803769140848,98.6011168306207,58,30,9,83.52013988551826,51
Michael Seeklander,TY30288,U,84.6629292465631,88.23175912449413,90.19461555735622,95.36941888035622,98.93824875828727,58,30,7,87.70986388674689,28
Lane Gries,A98625,GM,84.59455012955928,87.74636217744587,91.20084694651358,94.04998627321902,97.2017983211056,54,25,10,90.69760543358346,17
Bo Gibbons,TY86409,M,84.53064018908263,87.1715968447975,89.42228320933013,92.45351015622727,95.09446681194216,65,35,18,75.59488932652317,125
Greg Jordan,TY60069,U,83.8773926705588,87.90264989674553,90.11654137114824,95.953164349119,99.97842157530573,59,30,7,84.26201453565648,48
Shannon Smith,L3936,GM,83.82658724086072,86.92357914876789,90.06106209100669,93.11756296458225,96.21455487248942,64,30,14,69.76844711267647,196
Lee Weinstein,A111995,GM,83.77495893572163,87.203346467612,90.43266214310916,94.06012153139272,97.4885090632831,61,30,10,84.73435389353162,42
Andy Walker,TY94240,M,83.67248674003514,86.63230176241446,89.05156993071446,92.55193180717308,95.51174682955238,70,37,17,79.97897066114913,76
Sean Kellejian,A111377,GM,83.20132714423869,86.01145712905345,88.80487840833618,91.63171709868298,94.44184708349775,76,39,23,81.20283081115976,66
scott brown,TY107190,U,83.17838900467913,86.71598876014058,89.34954380438046,93.79118827106348,97.32878802652493,68,35,11,91.40360379876309,14
Justine Williams,A84390,M,83.17288692526648,86.39532366267807,89.23281449501657,92.84019713750126,96.06263387491286,71,36,16,79.26787149266885,82
Kevin Leonhardt,TY80296,M,82.95691645833261,85.39406775889886,87.7836173836473,90.26837036003133,92.70552166059755,82,45,30,84.3935270625001,46
Ben Czyzewski,A122115,GM,82.71006404418382,85.80600807797684,88.98319602631979,91.99789614556295,95.09384017935598,76,38,21,89.05132297506105,23
Ben Egelston,A138379,M,82.38480333393272,86.30833995050374,88.46628508961778,94.15541318364576,98.07894980021679,77,41,10,89.67804070626049,19
Jake Walker,A119469,M,82.22879065753787,85.67279469718818,88.50679557266277,92.56080277648879,96.00480681613908,80,40,17,79.25595244680467,85
Clark Cagle,A70601,M,82.0640611716836,84.48133532893284,86.51284792148904,89.31588364343132,91.73315780068056,99,53,35,82.76720630330821,54
Stephen Lutman,A78694,GM,82.05872533215228,85.44324794498188,89.30670074288957,92.21229317064105,95.59681578347062,77,35,21,80.51573873561148,70
Keanu Sy,TY103667,GM,81.98266229143533,84.61310308330837,87.29423330314916,89.87398466705446,92.5044254589275,94,50,32,79.9777376229339,77
Kevin Izatt,A84955,M,81.94728421506497,84.98011628129166,87.74977213915105,91.04578041374499,94.07861247997167,87,45,27,85.72310052428341,39
Tim Dunderi,A116283,GM,81.78762216736342,85.19733258596148,88.81507680650557,92.01675342315755,95.4264638417556,81,39,21,84.92465900902228,41
Ryan Mcmaken,A123174,M,81.51468929275077,84.8015816225905,87.51188867542434,91.37536628226998,94.66225861210971,91,45,25,79.6688486118147,78
Jim Steele,A134163,A,81.47980152920013,84.56501261779425,86.93357458516687,90.7354347949825,93.82064588357662,97,52,28,82.20465932467735,58
James Ramos,TY65542,A,80.89297809875909,84.6282014517202,86.68257429584881,92.09864815764244,95.83387151060354,97,52,21,80.08915299723665,73
Shane Coley,L5387,GM,80.84548566255256,84.8639701774056,87.07413666057477,92.90093920711168,96.9194237219647,94,51,16,88.9037185352197,24
Eric Steiner,TY81469,GM,80.81075949579342,84.63471899497566,86.74778815889964,92.28263799334012,96.10659749252235,97,52,20,84.04034777649456,49
Henning Wallgren,A25335,M,80.80960820832077,84.45615441554527,88.11076893422909,91.74924682999428,95.3957930372188,88,42,22,84.28558243489996,47
Michael Norman,A132639,M,80.48618856047779,83.87188085898565,87.17035995040892,90.64326545600139,94.02895775450926,99,50,28,81.66508112208848,60
Cameron Templin,A115726,GM,80.43825065917177,83.93124212810858,86.45291392501552,90.91722506598225,94.41021653491906,104,53,27,87.23322221814765,32
Ben Brown,A95163,M,80.23999034926797,83.54301344967104,86.60280995612014,90.14905965047716,93.45208275088024,107,52,30,0.0,491
Carson Herding,A128043,M,80.12180661196685,83.05071430087769,85.86878185006927,88.90852967869935,91.83743736761019,109,58,38,79.2330918665436,86
John Treat,A128047,M,79.944200834313,83.85086621474814,87.13442014231296,91.6641969756184,95.57086235605354,99,50,22,80.51791799715126,69
Magnus Krohn,TY132693,M,79.57679916768956,83.06879163635583,86.31027546743637,90.05277657368838,93.54476904235464,108,54,30,82.72236122090955,55
Zachary McLaughlin,TY112345,GM,79.40854294751611,82.27804738057681,84.92704255149059,88.01705624669816,90.88656067975884,117,66,43,78.78739362366667,88
Joshua Shaw,A91022,GM,79.31216453549223,82.57232842240276,85.75563442232568,89.09265619622381,92.35282008313435,112,58,37,82.76741089208058,53
Roman Vrublevskiy,L5432,A,79.22275358077819,82.54082932873607,85.49135439105096,89.17698082465184,92.49505657260971,112,64,37,80.268476672975,72
Morgan Leonhardt,TY102754,M,79.18576076684795,82.13296101094191,85.00103396653037,88.02736149912985,90.97456174322382,117,66,43,78.19634355816821,93
Patrick Posadas,A130592,M,79.16826540632287,83.04504772351503,86.67078862269186,90.79861235789932,94.67539467509147,107,52,28,79.42378694127385,79
Bo Oeltjen,A107036,M,78.76724705062956,82.18170167254834,86.00757714469987,89.01061091638593,92.42506553830472,112,56,37,75.6748587821457,124
Rodney Hawkins,TY130714,M,78.75864373897245,82.81925864031557,85.33267593125862,90.9404884430018,95.00110334434493,112,64,27,81.1495210171044,67
Matthew Nash,L5009,M,78.66833964039483,82.35436388673489,85.3002677822311,89.726412379415,93.41243662575505,116,64,34,77.93666639391257,94
Keith Tyler,L2525,GM,78.39411445154421,81.12564416231159,84.0401526861576,86.58870358384637,89.32023329461374,126,73,53,72.6075255694975,163
Jon Bautista,A88221,GM,78.20542149648406,82.0959173079342,86.11639523566292,89.87690893083446,93.7674047422846,112,56,32,82.36813617786535,56
Joel Fisher,A115917,M,78.14512111879127,81.86472892973197,85.73347758004773,89.30394455161338,93.02355236255411,117,59,35,76.78449290764038,112
Marlo ralph Migrino,A132627,A,78.1274334126473,81.73403596474115,84.16724837446034,88.94724106892885,92.55384362102271,121,69,38,70.43186124780073,184
Riley Bowman,L5336,M,78.05945138088349,81.94181886825096,85.6318798090039,89.70655384298594,93.58892133035341,117,61,34,77.42726387021371,106
Trey Ward,A130809,M,78.01408529502051,82.03028994105645,84.23920249637622,90.06269923312834,94.0789038791643,120,69,30,74.41889812237005,136
Casey Ryan,FY82686,GM,77.96795463232169,82.06473808153704,86.00479322690914,90.25830497996775,94.35508842918311,112,56,30,77.78393493407727,99
Wesley Cronin,L5096,M,77.78757705257921,81.56123932769398,85.5349739027361,89.1085638779235,92.88222615303825,117,61,37,84.65403639746667,43
Deshaun “DJ” Jenkins,A133084,M,77.56216331168825,81.03882584534895,83.98385779977075,87.99215091267034,91.46881344633104,127,75,43,76.50014361521784,117
David Murphy,A98899,M,77.51563454178407,81.33803451377118,85.13977250222278,88.98283445774534,92.80523442973244,120,65,38,76.556907685485,115
David Miller,TY81670,M,77.37469589800385,81.03891213380042,85.20265181340739,88.36734460539357,92.03156084119014,120,64,41,81.4092658990314,63
Casey Reed,L5371,U,77.24396224997162,85.2845830055783,89.70692442116197,101.36582451679163,109.40644527239832,75,34,1,87.09478159152604,34
Devin Degray,A133487,A,77.10329005711381,80.87872705609247,83.39400648785985,88.42960105404975,92.20503805302842,134,82,41,73.60255477106499,148
Caleb Higby,A80603,M,77.05357004754407,81.15900086144585,83.62587842748425,89.3698624892494,93.47529330315116,130,78,35
Samuel Lorino,A114066,M,76.83037873200963,80.67528659625827,84.6423676303247,88.36510232475561,92.21001018900425,124,68,41,78.36991730148925,92
Joshua Espinosa,TY133889,A,76.72746116588347,80.38712803713459,83.26933227820771,87.70646177963683,91.36612865088794,134,82,45,0.0,481
Micah Swan,TY96364,M,76.72581059457629,80.12492874638059,83.70283215041454,86.92316504998917,90.32228320179347,134,78,52
John Martello,FY134078,GM,76.6580198213145,80.50283128933361,84.2786705376296,88.1924542253718,92.03726569339092,130,69,42,76.06295985299366,119
