Name,Member Number,Class,5%,35%,Mean,65%,95%,Low Place,Mid Place,High Place,Actual Percent,Actual Place
Max Michel,L5373,GM,96.86864998382279,98.13688259602549,99.32665217956917,100.67334782043085,101.94158043263353,4,1,1,93.18128228781349,7
Mason Lane,L4341,GM,94.70167032950918,96.34235406465643,98.00747244634314,99.62372153495093,101.26440527009817,6,2,1,92.73422018578324,8
Nils Jonasson,L3837,GM,94.55986680935422,96.46995698078082,98.42418907293072,100.29013732363401,102.20022749506062,6,2,1,97.94851421062401,2
Christian Sailer,L4698,U,93.46512296221161,95.80610695626376,97.18404977406531,100.48807494436802,102.82905893842018,8,3,1,100.0,1
Jacob Hetherington,A69498,GM,93.4349730271695,95.28803609057405,97.00538881178925,98.99416221738308,100.8472252807876,9,4,1,97.4989855695214,3
Simon joseph Echavez racaza,L3137,GM,93.12183747699069,95.1429658210594,97.40268693102914,99.18522250919686,101.20635085326558,9,3,1,91.00633974301401,16
John Vlieger,TY79695,GM,92.49410766268298,94.24907101869525,95.99024294723002,97.75899773071977,99.51396108673202,14,7,2,94.94082558105904,4
Jay Beal,L4721,GM,92.43073076791892,94.26508461736701,95.99061890725018,97.93379231626322,99.76814616571133,14,7,2,92.4414214513445,10
Tom Castro,TY106150,GM,91.20448934962057,93.00055526748206,94.65958195822223,96.592687103205,98.38875302106648,22,9,4,84.50419396493139,45
Matthew Hemple,A111073,GM,90.01489372181949,92.01760918653414,93.89734083187881,96.02304011596348,98.02575558067814,29,9,7,89.14030155250221,21
Dazhi Zhang,TY93241,GM,89.74187180303943,92.41318186854764,94.95367183846236,97.75580199956406,100.42711206507224,23,9,2,92.48359767910081,9
Luke Cao,L4988,GM,89.58802354218788,91.84492586755043,93.92614801393057,96.35873051827554,98.6156328436381,29,9,5,87.11218400135648,33
Joon (사랑해) Kim,TY104547,GM,89.31671444917639,91.50128293877454,93.45295475736141,95.8704199179708,98.05498840756894,31,11,7,86.72763094070594,36
Trace Decker,A110330,GM,89.26852376955159,91.5754014754831,93.91631741739792,96.18915688734617,98.49603459327771,29,9,6,93.3953460195663,6
Brantley Merriam,A124472,GM,89.14277890359375,91.9167399458845,94.44797715909048,97.46466203046599,100.23862307275672,26,9,2,91.75765342541557,11
Bryan Jones,L2483,U,89.11774563320425,92.19508380743426,93.88761980326075,98.34976015589426,101.42709833012427,27,9,2,89.3810728990807,20
Jeremy Story,A63002,GM,89.0950331462349,91.36279328127294,93.48757970201417,95.89831355134903,98.16607368638707,32,11,7,91.5784210485719,12
Scott Rader,A83744,GM,88.32728056559051,90.52522107633278,92.58774115812145,94.92110209781731,97.11904260855957,37,16,9,88.50697726837815,26
Tyler Meisenheimer,A100099,GM,88.25572980733783,91.29762947642743,93.29822912859407,97.38142881460666,100.42332848369628,33,11,3,88.20480990264036,27
Hwansik Kim,A86278,GM,87.99954387805346,90.62395065309985,93.22410769291032,95.87276420319269,98.49717097823908,35,11,7,91.4597148639538,13
Garran Singleton,A95225,GM,87.94629438112773,90.79102403986855,93.50494257582544,96.4804833573502,99.32521301609103,34,11,5,93.84201361406951,5
Hunter Constantine,A114729,GM,87.72490111704141,90.02680026108104,92.11772066911112,94.63059854916031,96.93249769319993,42,20,9,83.91323935194728,50
Randall Towles,L5116,GM,87.50984945694927,89.69513182480362,91.89816155245772,94.06569656051231,96.25097892836665,44,21,9,88.59341178154033,25
Jared Clanton,A130247,GM,87.30627298926073,90.08502309489074,93.0934927691609,95.64252330615078,98.42127341178079,37,12,7,82.96882859232694,52
Isaac Lockwood,A106174,GM,87.16859804281371,89.70034597602911,92.09733298983181,94.76384184245985,97.29558977567521,43,20,9,85.3428669743095,40
Jedidiah Morgan,A139407,M,87.10850660304817,89.70951645869629,91.57191865378037,94.91153616999252,97.51254602564063,47,22,9,86.73602300793428,35
Phil Strader,RD5,GM,86.61847044345471,89.19205790328961,91.75973500112256,94.33923282295942,96.91282028279431,48,21,9,81.29931162614157,65
Sean Griffith,A109664,GM,86.44678325383565,89.50045979917347,92.82862981337024,95.60781288984911,98.66148943518695,41,15,7,90.18441842666043,18
Nick Walden,A104588,GM,86.19983597465718,88.7326786886439,91.1514007733248,93.79836411661735,96.33120683060407,50,24,10,87.57901755366376,30
Joshua (carde b) Cardenas,A134400,GM,85.5974581385624,88.44230608602012,91.19688931929704,94.13200198093557,96.9768499283933,50,23,9,87.60767890233036,29
Brian Giovannini,A81371,M,84.95456907104278,88.18199730345368,90.17174859504202,94.63685376827549,97.86428200068637,55,29,9,86.08742164455177,37
Ryan Flowers,B87,GM,84.87978283550302,87.66740179330294,89.2300537133105,93.24263970890281,96.03025866670274,62,32,11,87.41764388538127,31
Lane Gries,A98625,GM,84.5548553367119,87.7170007225621,91.17520410011694,94.04129149426252,97.20343688011272,52,23,9,90.69760543358346,17
Jonathan Tran,A122842,M,84.09297479099924,87.07891379755908,89.43257074533281,93.05079181067875,96.03673081723858,63,32,12,82.36226688162014,57
Tanner Wright,TY136419,M,84.08577619327235,87.47014829104438,90.25118647378727,94.23889248658845,97.62326458436048,56,29,9,86.02614069012724,38
Jack Brown,FY110979,A,83.66343975224062,87.22390634641533,89.18216297321145,94.3448395347648,97.90530612893954,64,32,9,83.52013988551826,51
Bo Gibbons,TY86409,M,83.52238951158732,86.63256177979804,89.28099035602773,92.85290631621946,95.96307858443018,65,32,15,75.59488932652317,125
Shannon Smith,L3936,GM,83.40716829315149,86.7677082674124,90.14238755918636,93.48878821593426,96.84932819019518,62,29,11,69.76844711267647,196
Lee Weinstein,A111995,GM,83.26622945632725,86.8034076813348,90.18022233560413,93.87776413134992,97.41494235635747,62,29,9,84.73435389353162,42
Andy Walker,TY94240,M,82.84225259496509,86.16186196011948,88.87414829607229,92.8010806904283,96.12069005558268,73,33,15,79.97897066114913,76
scott brown,TY107190,U,82.84016991301648,86.42381563461534,89.03033025511245,93.59110707781304,97.1747527994119,69,33,11,91.40360379876309,14
Justine Williams,A84390,M,82.82070910991851,86.10437308437918,88.87738182251438,92.67170103330052,95.9553650077612,73,33,16,79.26787149266885,82
Kevin Leonhardt,TY80296,M,82.67235238254537,85.36359879940636,87.9822654491944,90.74609163312832,93.43733804998932,81,39,27,84.3935270625001,46
Sean Kellejian,A111377,GM,82.55813389732532,85.78359017606022,88.92250820062547,92.23450273353,95.4599590122649,74,33,19,81.20283081115976,66
