Name,Member Number,Class,5%,35%,Mean,65%,95%,Low Place,Mid Place,High Place,Actual Percent,Actual Place
Max Michel,L5373,GM,97.02558964734077,98.22911787070106,99.36382568257835,100.63617431742165,101.83970254078194,4,1,1,93.18128228781349,7
Mason Lane,L4341,GM,95.20877711678631,96.65048175355379,98.11648829609491,99.53389102708876,100.97559566385625,6,2,1,92.73422018578324,8
Nils Jonasson,L3837,GM,95.01433119990227,96.67876585340647,98.384868044917,100.00763516041486,101.67206981391905,6,2,1,97.94851421062401,2
Simon joseph Echavez racaza,L3137,GM,94.42274594105788,96.1282120395226,97.99559769644335,99.53914423645203,101.24461033491674,6,2,1,91.00633974301401,16
Christian Sailer,L4698,U,94.07695856060789,96.26082281355657,97.54545825610278,100.62855131945392,102.8124155724026,6,2,1,100.0,1
Jacob Hetherington,A69498,GM,93.85149420656076,95.48412958985327,97.01252307712022,98.74940035643831,100.38203573973084,10,5,2,97.4989855695214,3
John Vlieger,TY79695,GM,92.89124786647072,94.47937625116555,96.05874006298566,97.65563302055523,99.24376140525007,13,7,2,94.94082558105904,4
Jay Beal,L4721,GM,92.54609391982359,94.228747804129,95.81359238315608,97.59405557273985,99.27670945704526,13,7,2,92.4414214513445,10
Tom Castro,TY106150,GM,91.22207660747796,92.87387820694481,94.42621808522102,96.17748140587852,97.82928300534537,22,9,7,84.50419396493139,45
Matthew Hemple,A111073,GM,90.11170733509756,91.94629497491864,93.69576314707908,95.61547025456085,97.45005789438194,28,10,7,89.14030155250221,21
Dazhi Zhang,TY93241,GM,89.98670299678727,92.52899393814164,94.93693592448464,97.61357582085044,100.15586676220481,22,9,2,92.48359767910081,9
Luke Cao,L4988,GM,89.80518947976421,91.84386237983074,93.73155409477019,95.9212081799638,97.95988108003033,28,10,7,87.11218400135648,33
Trace Decker,A110330,GM,89.57647888835152,91.61233351798768,93.68781673013741,95.68404277725998,97.71989740689612,30,10,7,93.3953460195663,6
Bryan Jones,L2483,U,89.48666931227949,92.60640276605344,94.3222561656291,98.84586967360131,101.96560312737529,22,9,1,89.3810728990807,20
Joon (사랑해) Kim,TY104547,GM,89.3564126289099,91.34076562171967,93.14155223422493,95.30947160733922,97.293824600149,30,13,7,86.72763094070594,36
Jeremy Story,A63002,GM,89.33548863295154,91.37231226664898,93.29587616964474,95.44595953404385,97.48278316774129,30,12,7,91.5784210485719,12
